"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"LBRM_05_1050",9.2847652469164,4.58665798264093,1.10300163426726,4.15834196445946,3.20565891113706e-05,0.00257093844673192,"Significant"
"LBRM_18_0630",4.81001770483759,5.55545919794805,1.60283850892922,3.4660130555881,0.000528237628739579,0.0249203869558319,"Significant"
"LBRM_21_0030",8.63880040779357,7.34587610203192,1.42521427135178,5.154225753763,2.54680978982622e-07,2.9179163592009e-05,"Significant"
"LBRM_31_3610",6.65047180377468,5.10138037770712,1.36997226111229,3.72371070751847,0.000196315869214441,0.0112460947935701,"Significant"
"LBRM_34_0220",9.35066126737507,3.74313311799523,0.945937490863428,3.95706180815245,7.58773028970557e-05,0.00468104591718759,"Significant"
"LBRM_34_1660",4.0082587655163,6.15265645180731,1.67356206867304,3.67638378460963,0.00023656354958472,0.0126482644511297,"Significant"
